Row,prob_thresh,max_reach_prob,elapsed_time_cco,ratio_volume
automatedAnesthesiaDelivery3D.mat,0.99,0.9999,7.665351,0.704095915145473
buildingAutomationSystem4D.mat,0.8,0.997836616555987,2.243422,0.968970023203383
buildingAutomationSystem7D.mat,0.8,0.9999,1.44951,0.869061149061693
chainOfIntegrators100D.mat,0.8,0.9999,226.359836,0.591447029508998
chainOfIntegrators10D.mat,0.8,0.9999,16.031994,0.585795258223907
chainOfIntegrators20D.mat,0.8,0.9999,22.458038,0.585794870357571
chainOfIntegrators2D.mat,0.8,0.9999,5.018289,0.629207573210383
chainOfIntegrators3D.mat,0.8,0.9999,5.72977,0.59570551600748
chainOfIntegrators40D.mat,0.8,0.9999,51.594014,0.58579498464607
chainOfIntegrators4D.mat,0.8,0.9999,6.500885,0.593254453307926
chainOfIntegrators5D.mat,0.8,0.9999,7.178034,0.591071126643133
chainOfIntegrators6D.mat,0.8,0.9999,7.952372,0.591469165682143
chainOfIntegrators7D.mat,0.8,0.9999,11.275509,0.585796850619559
